index,CRASH_TIME,latitude,longitude
230,9:15,40.7406,-73.8102475
231,9:00,40.6476644,-73.9735247
232,11:15,40.7198209,-73.9921059
233,22:00,40.7904206,-73.951817
234,20:00,40.6481144,-73.9147483
235,23:09,40.6804939,-73.8213476
236,22:45,40.6291184,-74.0346538
237,11:40,40.69982,-73.920127
238,14:15,40.7797942,-73.7848595
239,10:10,40.6980389,-73.7622438
240,12:30,40.628912,-73.9714409
241,18:00,40.6750448,-73.9305402
242,8:04,40.6008878,-73.9586844
243,9:40,40.83297,-73.8281755
244,23:06,40.8636838,-73.8917963
245,4:45,40.6894388,-73.9422214
246,12:47,40.6766648,-73.8903851
247,0:00,40.8328124,-73.9459209
248,17:00,39.3754523,-78.0237823
249,13:45,40.6767676,-73.9173948
250,16:25,40.8011835,-73.9416883
251,7:40,40.6799384,-73.9138701
252,5:27,40.6781634,-74.0141404
253,18:10,40.5897044,-73.7993851
254,18:16,40.6603334,-73.9132166
255,21:20,40.7558066,-73.9864211
256,21:42,40.6861236,-73.8699128
257,12:07,40.7499212,-73.8622805
258,18:55,40.6418958,-73.93325
259,9:20,40.6627531,-73.9316267
260,1:00,40.7615144,-73.883592
261,10:50,40.616312,-74.1567054
262,11:30,40.5806881,-73.9855851
263,22:55,40.6398171,-73.9513087
264,7:00,40.4572938,-80.0515797
265,16:55,40.7581223,-73.8962544
266,15:30,40.8345521,-73.8658533
267,8:00,40.7344433,-73.721781
268,18:55,40.6419815,-73.8988836
269,0:30,40.8006668,-73.946464
270,10:00,40.8462218,-73.9122738
271,18:35,40.707509,-73.9415203
272,19:05,40.7216453,-73.8095887
273,17:16,40.6682781,-73.902637
274,13:36,40.6714568,-73.7894247
275,0:30,40.6663773,-73.7644395
276,9:45,40.7915312,-73.9447036
277,14:30,40.6630513,-73.7487238
278,14:35,40.8356158,-73.9137667
279,9:40,40.7292241,-73.8713869
280,13:55,40.6747422,-73.9977728
281,15:40,40.7044883,-73.9488004
282,0:01,40.7425303,-73.9492361
283,10:39,40.7421814,-73.8044905
284,0:27,40.8422611,-73.9275989
285,18:35,40.5769936,-73.9815755
286,17:58,30.0945726,-95.6356964
287,16:50,40.6833346,-74.0019564
288,0:00,40.6842478,-73.9381512
289,9:15,40.6761221,-73.9219179
290,23:57,40.588077,-74.161265
291,20:00,40.6531635,-73.9661976
292,17:20,40.6583118,-73.9310961
293,19:15,40.7697512,-73.9605925
294,18:00,40.6084846,-74.1554442
295,20:45,40.7445613,-73.955975
296,16:00,40.7785935,-73.7758862
297,14:50,40.777504,-73.9549428
298,9:00,40.6778783,-73.850636
299,21:55,40.846033,-73.917152
300,9:49,40.6671374,-73.8346729
301,15:50,40.8446075,-73.9008037
302,17:15,40.6550522,-73.9562951
303,18:20,40.710357,-73.9638869
304,7:50,40.818861,-73.9561355
305,8:28,40.6585561,-73.8905344
306,4:25,40.6938842,-73.7296505
307,12:12,40.7061562,-74.0060169
308,1:17,40.8211673,-73.886345
309,3:15,40.685588,-73.785839
310,13:25,40.6315603,-73.9954351
311,15:00,40.7230448,-73.8562954
312,10:20,40.7573499,-73.9859929
313,18:25,40.785466,-73.9729224
314,0:00,40.8675865,-73.8406826
315,15:35,40.8650589,-73.921855
316,10:46,40.7075359,-73.9611499
317,21:08,40.727211,-73.9074165
318,12:35,40.8043256,-73.939393
319,6:00,40.6730156,-73.8971752
320,9:10,40.6678772,-73.7625579
321,12:10,40.697328,-73.8296118
322,21:55,40.898377,-73.872824
323,22:30,40.7414266,-73.8237305
324,16:11,40.7008098,-73.9544559
325,15:48,40.8426863,-73.8993743
326,10:20,40.6379863,-73.7411558
327,3:30,40.8050123,-73.9389017
328,13:15,40.7328492,-73.7985548
329,14:24,40.7105764,-73.8706225
330,0:00,40.7529608,-73.9854966
331,21:00,40.581811,-73.9537959
332,19:50,40.621459,-74.0717449
333,12:25,40.6962625,-73.9095502
334,18:10,40.6706236,-73.8955515
335,17:30,51.5032437,-0.1275898
336,13:45,40.6841079,-73.9774627
337,7:55,40.8114514,-73.890571
338,17:25,40.8254644,-73.9131792
339,16:12,40.6661396,-73.8057774
340,17:55,40.6792734,-73.9290697
341,16:39,40.8653977,-73.8704003
342,15:50,40.7480325,-73.8802083
343,19:49,40.7410338,-73.9941718
344,14:54,40.7579854,-73.8829541
345,22:15,40.752536,-73.9649056
346,21:30,40.8027431,-73.9492612
347,11:48,40.7383533,-73.8959002
348,20:00,40.6736331,-73.7334973
349,17:00,40.583627,-73.9425916
350,23:35,40.5847159,-73.9437615
351,17:45,40.6790038,-73.8125831
352,20:55,40.6716076,-73.880183
353,11:42,40.6104487,-73.9346259
354,15:15,40.828296,-73.861717
355,4:15,40.6663943,-73.7553807
356,0:00,40.6175945,-73.9638712
357,11:09,40.6215561,-74.1684875
358,17:00,40.7490073,-73.9397077
359,18:40,40.8274229,-73.8683171
360,7:10,40.8044148,-73.9117911
361,15:30,40.6652499,-73.73956
362,0:00,40.7005229,-73.811052
363,5:00,40.7576671,-73.9948632
364,12:15,49.1117607,-122.8065726
365,11:00,40.8377728,-73.9420692
366,11:20,25.8955185,-80.2112272
367,11:38,40.8734199,-73.8758833
368,12:50,40.7153562,-73.9977324
369,20:00,40.7323986,-73.8845198
370,10:20,40.6194922,-73.9182743
371,17:20,40.8216791,-73.9151908
372,22:40,40.7420607,-73.9003538
373,22:14,40.6790727,-73.7586998
374,2:15,40.7007375,-73.9419512
375,19:34,40.8581329,-73.8957368
376,23:38,40.7259812,-73.8982902
377,14:30,40.7620069,-73.9109907
378,8:00,40.6082702,-73.9205877
379,17:25,40.6541584,-73.9178409
380,3:05,41.2913984,-95.9855219
381,22:22,40.6579899,-73.8961789
382,21:30,40.6030485,-74.1404715
383,21:25,40.7452545,-73.9557404
384,3:00,40.6557659,-73.9240209
385,16:48,40.8057388,-73.9406512
386,2:18,40.6238069,-73.9235048
387,20:00,40.6710667,-73.851097
388,18:30,40.6868299,-73.9388039
389,19:37,40.6654958,-73.7557381
390,21:25,40.7578469,-73.9736211
391,18:20,40.5741099,-74.0040726
392,2:30,40.6329926,-73.8827194
393,0:52,40.8180589,-73.9251687
394,7:50,40.8759641,-73.8358189
395,23:05,40.7589752,-73.8298382
396,8:45,40.6249235,-73.9344999
397,8:45,40.8256424,-73.8594188
398,15:42,40.6671729,-73.9101081
399,12:33,40.6760275,-73.8434022
400,2:29,40.7269606,-73.84653
401,23:28,40.7151685,-73.7735996
402,12:35,40.8173545,-73.9227828
403,16:20,40.8566322,-73.8676378
404,10:00,40.7646292,-73.9955502
405,16:22,40.7887673,-73.7055947
406,22:15,40.699665,-73.9592276
407,17:50,40.8230724,-73.8672726
408,21:20,40.6859944,-73.8399158
409,20:15,40.690155,-73.7772094
410,18:40,40.7354625,-73.8585828
411,10:00,40.8005138,-73.9381432
412,9:00,40.7462231,-73.8972153
413,0:48,40.6324014,-73.8882271
414,23:50,40.7596826,-73.8002985
415,21:37,40.8126785,-73.90635
416,21:20,40.7264333,-73.8528167
417,12:25,40.7496442,-73.9990832
418,23:00,40.6940092,-73.8279825
419,0:22,40.8337766,-73.8617305
420,8:00,40.6074254,-73.9262507
421,15:40,40.697292,-73.9237814
422,13:40,40.575635,-73.9639265
423,9:00,40.8283247,-73.9431317
424,0:37,40.8581126,-73.8566395
425,22:07,40.7595933,-73.9680344
426,6:00,40.7271062,-73.8051518
427,12:10,40.9476645,-73.8345485
428,17:50,40.7999961,-73.9448528
429,11:00,40.6336299,-74.13898
430,15:40,40.8603559,-73.8889199
431,2:48,40.8027602,-73.9335801
432,17:35,40.687699,-73.91094
433,10:00,40.6191982,-73.9230118
434,23:25,40.8209983,-73.8949074
435,18:00,40.6351948,-73.9286246
436,0:00,40.7171116,-73.9985879
437,11:38,40.6572372,-73.9602426
438,11:15,40.5759324,-74.0101754
439,17:00,40.8494398,-73.9184149
440,20:00,40.581628,-74.0934406
441,14:47,40.7259685,-73.7755631
442,10:29,40.68079,-73.991728
443,21:06,40.6704979,-73.944872
444,18:40,40.6616739,-73.9236202
445,19:00,40.721744,-73.8451376
446,10:10,40.7676415,-73.9229799
447,11:40,40.6963726,-73.7452314
448,4:28,40.7605451,-73.9583678
449,5:09,40.8747118,-73.8451063
450,22:21,40.6229985,-73.9590505
451,17:29,40.6568114,-73.9279992
452,20:55,40.5894292,-74.0945482
453,14:11,40.8240216,-73.9447158
454,5:13,40.7030315,-73.959878
455,20:30,40.6854451,-73.7551409
456,22:09,40.7545231,-74.001067
457,18:00,40.7561491,-73.9676105
458,14:00,40.6274126,-74.1665431
459,18:59,40.8806337,-73.8404607
460,14:10,49.1554912,-122.7565726
461,8:23,40.7020269,-73.9926396
462,19:00,40.6287311,-74.0830426
463,7:57,40.7421276,-73.9274501
464,1:05,40.8109751,-73.95309
465,21:45,40.69955,-73.764357
466,16:40,40.5709204,-74.1699534
467,16:00,40.6295672,-73.9434144
468,20:13,40.8496923,-73.7874171
469,17:57,40.6525615,-73.746546
470,9:28,40.8256424,-73.8594188
471,22:20,40.6633418,-73.9597418
472,0:25,40.677391,-73.739794
473,6:50,40.7546525,-73.8766645
474,0:19,40.7079512,-73.8371455
475,14:45,40.8088855,-73.884061
476,15:22,40.6655582,-73.7297867
477,1:50,40.7716232,-73.9904523
478,10:57,40.8331465,-73.8870979
479,14:38,40.7682403,-73.9070829
480,16:30,40.562835,-74.1026084
481,15:27,40.7037911,-73.9311495
482,10:40,40.6351948,-73.9286246
483,11:57,40.7271838,-73.8932632
484,14:00,40.6482447,-73.9290018
485,20:54,40.6098252,-73.9223129
486,17:40,40.6214953,-73.9174754
487,12:00,40.6784417,-73.8518728
488,15:20,40.6671078,-73.8124888
489,1:00,40.7567316,-73.9542239
490,20:50,40.7816518,-73.8257422
491,4:03,40.665994,-73.885795
492,16:11,40.7620183,-74.0010207
493,0:43,40.8277392,-73.8437619
494,0:30,40.6065957,-73.7557401
495,9:50,40.6280041,-74.1517747
496,5:20,40.8535813,-73.9322425
497,0:16,40.8027602,-73.9335801
498,0:00,40.6755248,-73.8987483
499,1:30,40.8588274,-73.8859937
500,21:09,40.7489123,-73.8140729
